Repository,Score
Ed-Fi-Alliance-OSS/Ed-Fi-Data-Standard,7.2
Ed-Fi-Alliance-OSS/Ed-Fi-ODS,7.6
Ed-Fi-Alliance-OSS/Ed-Fi-ODS-Implementation,7.9
Ed-Fi-Alliance-OSS/Ed-Fi-Analytics-Middle-Tier,6.9
Ed-Fi-Alliance-OSS/Ed-Fi-Databases,7.4
Ed-Fi-Alliance-OSS/Ed-Fi-ODS-AdminApp,8.3
Ed-Fi-Alliance-OSS/Ed-Fi-Extensions,7.2
Ed-Fi-Alliance-OSS/Ed-Fi-ODS-Docker,6.8
Ed-Fi-Alliance-OSS/Ed-Fi-API-Publisher,8.8
Ed-Fi-Alliance-OSS/EdFi.Installer.AppCommon,
Ed-Fi-Alliance-OSS/Ed-Fi-TPDM-Artifacts,
Ed-Fi-Alliance-OSS/Ed-Fi-Actions,
Ed-Fi-Alliance-OSS/Actions-Demonstrations,
Ed-Fi-Alliance-OSS/DevSecOps,
Ed-Fi-Alliance-OSS/.github,
Ed-Fi-Alliance-OSS/slsa-github-generator,6.6
Ed-Fi-Alliance-OSS/Ed-Fi-DataImport,8.1
Ed-Fi-Alliance-OSS/AdminAPI-1.x,8.6
Ed-Fi-Alliance-OSS/Ed-Fi-Compatibility-Libraries,7.7
Ed-Fi-Alliance-OSS/vscode-metaed-ide,
Ed-Fi-Alliance-OSS/antlr4,
Ed-Fi-Alliance-OSS/AdminAPI-2.x,8.2
Ed-Fi-Alliance-OSS/Ed-Fi-API-Standards,6.8
Ed-Fi-Alliance-OSS/Data-Management-Service,9.0
Ed-Fi-Alliance-OSS/Project-Tanager,
Ed-Fi-Alliance-OSS/certification-testing,
Ed-Fi-Alliance-OSS/ed-fi-alliance-oss.github.io,7.1
Ed-Fi-Alliance-OSS/Ed-Fi-Kafka-Connect,7.1
Ed-Fi-Alliance-OSS/Ed-Fi-Admin-Console,
Ed-Fi-Alliance-OSS/DMS-Configuration-Service,7.2
Ed-Fi-Alliance-OSS/Ed-Fi-Admin-Console-Shared-SDK,
Ed-Fi-Alliance-OSS/technology-documents,
