,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,8.0,446.75,261.98023371457407,151.0,202.25,460.5,619.0,797.0,2024-11-12
1,AC,64.0,32.359375,7.614454065413075,5.0,33.0,33.0,33.0,56.0,2024-11-12
2,ADMINAPI,28.0,192.92857142857142,256.4194954989922,5.0,19.75,40.0,323.5,727.0,2024-11-12
3,APIPUB,11.0,205.1818181818182,207.2475901822833,13.0,74.0,124.0,275.0,574.0,2024-11-12
4,DATASTD,147.0,877.3333333333334,717.9212031144355,0.0,229.5,749.0,1348.0,2976.0,2024-11-12
5,DI,3.0,405.0,382.4774503157016,152.0,185.0,218.0,531.5,845.0,2024-11-12
6,DMS,97.0,199.69072164948454,258.00098355855573,0.0,39.0,84.0,216.0,1126.0,2024-11-12
7,EDFI,5.0,23.0,11.853269591129697,13.0,13.0,18.0,32.0,39.0,2024-11-12
8,EPPETA,26.0,340.1923076923077,119.41725812654357,60.0,283.5,313.0,446.0,518.0,2024-11-12
9,METAED,53.0,761.3396226415094,453.1912460708387,26.0,470.0,673.0,1085.0,1812.0,2024-11-12
10,MODL,4.0,916.0,23.944379994757295,882.0,910.5,922.0,927.5,938.0,2024-11-12
11,ODS,111.0,788.936936936937,820.4304222815472,0.0,87.0,426.0,1465.5,3121.0,2024-11-12
12,PERF,23.0,434.82608695652175,345.78719837678324,3.0,112.5,410.0,692.0,956.0,2024-11-12
