,project,count,mean,std,min,25%,50%,75%,max,date
0,AA,9.0,97.88888888888889,266.3693133810858,0.0,5.0,12.0,17.0,808.0,2025-07-07
1,AC,77.0,149.8961038961039,93.55080021818492,10.0,59.0,119.0,270.0,271.0,2025-07-07
2,ADMINAPI,35.0,54.4,46.13547824550187,0.0,34.0,35.0,76.0,157.0,2025-07-07
3,APIPUB,11.0,300.54545454545456,326.63568807965964,0.0,10.0,294.0,496.0,811.0,2025-07-07
4,DATASTD,128.0,1057.7890625,835.1759647899918,0.0,270.25,1038.0,1630.5,3213.0,2025-07-07
5,DI,2.0,227.5,321.7335854398791,0.0,113.75,227.5,341.25,455.0,2025-07-07
6,DMS,124.0,240.5,278.0631471826826,0.0,39.75,143.5,321.0,1363.0,2025-07-07
7,EDFI,26.0,180.30769230769232,76.48046507744013,16.0,167.25,205.5,230.25,277.0,2025-07-07
8,EPPETA,26.0,577.3846153846154,119.42632102617142,297.0,520.5,550.0,683.0,756.0,2025-07-07
9,METAED,102.0,752.156862745098,463.71657751191844,0.0,424.75,853.0,858.75,2050.0,2025-07-07
10,MODL,5.0,962.6,427.3538346616303,199.0,1120.0,1157.0,1162.0,1175.0,2025-07-07
11,ODS,154.0,1205.155844155844,847.0347827960055,0.0,527.25,968.5,1831.75,3358.0,2025-07-07
12,PERF,26.0,617.0769230769231,360.2223672207958,172.0,304.25,620.5,838.25,1193.0,2025-07-07
